fs,fss,nfeatures,features,targets,reliability,oids
2399599952233934428,-2026022516,5,"{{-3.3768950735690333,-9.21954258275344,-10.829827620263284,-9.860952782529203,-11.806862931584517}}",{7.294377299288821},{1},"{16399,16418,16440,16457,16478}"
5068614643165729469,-2139692156,2,"{{-14.743062444355063,-0.6043176896131222}}",{0},{1},{16507}
-6387362809141986757,46551598,10,"{{-9.210340371976182,-15.242824734036668,-10.401106348814837,-1.9459101490553135,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-9.504277838590472,-1.3862943611198906,-0.6043176896131222}}",{12.153957961262721},{1},"{16430,16413,16413,16399,16440,16447,16478,16488,16507}"
2434959201386717317,-536179019,1,{{-13.046917587694706}},{1.0986122886681098},{1},{16471}
2399599952233934428,1865759099,5,"{{-13.046917587694706,-4.727387818712341,-4.727387818712341,-9.21954258275344,-10.829827620263284}}",{7.278628942320682},{1},"{16418,16435,16457,16471}"
1524343667767028728,-525349160,5,"{{-0.9134981405910861,-1.9459101490553135,-10.420568570464626,-10.401106348814837,-1.252762968495368}}",{11.288343379461672},{1},"{16440,16447,16457,16478,16507}"
-7110568913434103698,649322489,9,"{{-1.3862943611198906,-1.5549634809551214,-3.0610454327046264,-4.727387818712341,-4.727387818712341,-1.1149585546163294,-10.420568570464626,-10.401106348814837,-1.779409008716249}}",{3.9512437185814275},{1},"{16425,16435,16440,16457,16464,16478,16507}"
-6682106289455670140,156542209,10,"{{-0.6043176896131222,-5.3267168438752,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.6931471805599453,-9.860952782529203,-4.727387818712341,-4.727387818712341,-10.401106348814837}}",{7.057036981697891},{1},"{16430,16413,16413,16435,16440,16464,16471,16478,16507}"
-5323664899700589841,560001021,14,"{{-1.3862943611198906,-0.7191353283247456,-0.8556044967540088,-0.09725901836917965,-12.367328027087364,-0.11202713060292206,-1.4309553723739108,-1.3862943611198906,-1.3862943611198906,-3.7826452271286155,-1.3862943611198906,-11.806862931584517,-11.806862931584517,-2.772588722239781}}",{5.147494476813453},{1},"{16430,16413,16418,16425,16440,16452,16457,16478,16483,16507}"
7721649514993682563,-1226961967,4,"{{-0.6043176896131222,-8.22130525280142,-1.3862943611198906,-1.3862943611198906}}",{5.673323267171493},{1},"{16430,16413,16478,16507}"
1524343667767028728,-1072245045,1,{{-4.727387818712341}},{0},{1},{16435}
5372730239182956237,-993449036,16,"{{-4.727387818712341,-2.994692088903998,-1.779409008716249,-10.401106348814837,-1.9459101490553135,-1.1149585546163294,-1.252762968495368,-0.6228005731438893,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-12.367328027087364,-4.727387818712341,-0.9134981405910861,-10.420568570464626}}",{9.04699757378001},{1},"{16430,16413,16413,16418,16435,16440,16447,16457,16464,16478,16507}"
-7110568913434103698,-1952570385,11,"{{-1.3862943611198906,-1.3400058453019061,-4.727387818712341,-0.164318121186709,-1.9459101490553135,-1.1149585546163294,-10.420568570464626,-10.401106348814837,-4.727387818712341,-1.779409008716249,-1.252762968495368}}",{8.123854263105914},{1},"{16425,16435,16440,16447,16457,16471,16478,16507}"
3549109824785540005,446792316,12,"{{-3.4196523656796733,-4.727387818712341,-2.4849066497880004,-2.4849066497880004,-4.727387818712341,0,-3.7425615452004064,-1.3862943611198906,-10.401106348814837,-11.806862931584517,-14.959841313840421,-1.3862943611198906}}",{7.02108396428914},{1},"{16430,16413,16406,16399,16435,16440,16464,16478,16502}"
5372730239182956237,-1724795009,2,"{{-1.3862943611198906,-1.3862943611198906}}",{11.361416293286421},{1},"{16430,16413}"
1025902338300761143,2008492361,10,"{{-0.6043176896131222,-9.504277838590472,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-1.9459101490553135,-4.727387818712341,-4.727387818712341,-10.401106348814837,-1.9590502892399166}}",{10.984394014085305},{1},"{16430,16413,16399,16435,16440,16447,16471,16478,16507}"
-3210595597316270705,79481792,2,"{{-1.3862943611198906,-1.3862943611198906}}",{0},{1},{16413}
-1573023350148659030,-582096598,2,"{{-4.727387818712341,-4.727387818712341}}",{0},{1},{16435}
-3475685009172437784,2034977659,7,"{{-1.3862943611198906,-1.3862943611198906,-10.420568570464626,-4.727387818712341,-4.727387818712341,-10.401106348814837,-3.2466960139287666}}",{4.430816798843313},{1},"{16430,16413,16435,16440,16471,16478}"
2434959201386717317,-209844572,8,"{{-1.3862943611198906,-1.3862943611198906,-12.367328027087364,-1.9459101490553135,-4.727387818712341,-1.0161294578281923,-4.727387818712341,-1.9459101490553135},{-1.3862943611198906,-1.3862943611198906,-10.829827620263284,-1.9459101490553135,-4.727387818712341,-1.0161294578281923,-4.727387818712341,-1.9459101490553135}}","{11.377025555336783,11.377025555336783}","{1,1}","{16418,16425,16435,16447,16457,16471,16507}"
7915967579038312663,-2070489683,10,"{{-2.4849066497880004,-3.7425615452004064,-10.829827620263284,-14.959841313840421,-4.727387818712341,-0.6043176896131222,-1.0161294578281923,-4.727387818712341,-2.4849066497880004,-12.963524726190421}}",{14.381684224503632},{1},"{16385,16406,16399,16418,16435,16457,16464,16502,16507}"
-4608735958739764665,-1505649685,1,{{-10.401106348814837}},{8.39931015075952},{1},{16478}
7721649514993682563,1556811095,7,"{{-0.6043176896131222,-1.3862943611198906,-8.22130525280142,-1.3862943611198906,-1.3862943611198906,-0.6931471805599453,-14.743062444355063}}",{0.6931471805599453},{1},"{16430,16413,16413,16507}"
4184495773567888797,-1353870807,11,"{{-0.11202713060292206,-0.7191353283247456,-0.5682273363332855,-4.775563168132584,-12.367328027087364,-1.4309553723739108,-10.401106348814837,-0.20307550321591045,-3.7826452271286155,-11.806862931584517,-2.772588722239781}}",{3.6375861597263857},{1},"{16418,16440,16452,16457,16464,16478,16483,16507}"
-5459870143170781696,106224369,1,{{-10.401106348814837}},{10.641608098738805},{1},{16478}
7102013096890644952,452409680,2,"{{-1.3862943611198906,-1.3862943611198906}}",{0},{1},{16425}
816913887554954199,-2107790740,2,"{{-11.806862931584517,-10.401106348814837}}",{10.641608098738805},{1},"{16440,16478}"
-7110568913434103698,1900696910,10,"{{-0.6228005731438893,-12.367328027087364,-1.5549634809551214,-0.164318121186709,-1.9459101490553135,-1.1149585546163294,-10.420568570464626,-10.401106348814837,-1.779409008716249,-1.252762968495368}}",{5.030437921392435},{1},"{16418,16440,16447,16457,16471,16478,16507}"
-4983731566966487840,-1407875821,8,"{{-6.214608050924742,-10.401106348814837,-1.8626752716686563,-9.319827910797311,-4.727387818712341,-10.197425019150417,-4.727387818712341,-3.3768950735690333}}",{2.8903717578961645},{1},"{16399,16435,16440,16464,16471,16478,16507}"
-1889760809355916724,1432493251,9,"{{-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-3.3768950735690333,-15.242824734036668,-0.8755327071046938,-4.727387818712341,-4.727387818712341}}",{12.714840152826692},{1},"{16430,16413,16413,16399,16435,16471,16478,16488}"
4445581228366823766,1777684117,12,"{{-7.327459299804411,-0.6043176896131222,-1.9459101490553135,-1.3862943611198906,0,-3.4819312730925707,-1.3862943611198906,-1.0161294578281923,-11.806862931584517,-12.367328027087364,-1.3862943611198906,-1.9459101490553135}}",{6.42648845745769},{1},"{16430,16413,16418,16425,16440,16447,16457,16464,16478,16507}"
-2216088972165640435,1586933653,13,"{{-1.4643856107083681,-1.5235523378721705,-1.025400360113085,0,-4.822435922102408,-10.829827620263284,-14.959841313840421,-1.779409008716249,-9.319827910797311,-0.3430127066731566,-3.937340792780059,-1.0161294578281923,-6.217826204697014}}",{2.70805020110221},{1},"{16385,16406,16399,16418,16457,16464,16488,16507}"
3350265702090035455,598292842,3,"{{-11.806862931584517,-10.401106348814837,-12.963021320790144}}",{15.995690022563991},{1},"{16385,16399,16440,16457,16478}"
-6571914703387389993,1522380127,2,"{{-2.4849066497880004,-2.4849066497880004}}",{0},{1},{16502}
-6846011022746249658,838549254,4,"{{-0.7487598523539759,-2.890371757896165,-3.7826452271286155,-3.0474467446168054}}",{3.912023005428146},{1},"{16452,16471,16483,16507}"
-1573023350148659030,1250083668,10,"{{-10.401106348814837,-4.727387818712341,-1.3862943611198906,-1.3862943611198906,-4.727387818712341,-1.3862943611198906,-0.2876820724517809,-0.027363187820156575,-0.6043176896131222,-10.420568570464626}}",{6.263398262591624},{1},"{16430,16413,16413,16435,16440,16471,16478,16507}"
-1723239386245354632,-208070636,12,"{{-1.0986122886681093,-1.3862943611198906,-0.7191353283247456,-0.20307550321591045,-0.09725901836917965,-12.367328027087364,-0.11202713060292206,-1.4309553723739108,-1.3862943611198906,-1.3862943611198906,-3.7826452271286155,-2.772588722239781}}",{5.820082930352362},{1},"{16430,16413,16418,16425,16452,16457,16483,16507}"
7420183357700622221,758532647,0,,{0},{1},"{16418,16440,16457,16478,16507}"
-5951735317690032369,552047842,10,"{{-0.09933504492467592,-0.11202713060292206,-10.401106348814837,-0.6678173444306782,-0.2876820724517809,-12.367328027087364,0,-2.890371757896165,-1.3862943611198906,-10.708250642916408}}",{9.60904937558734},{1},"{16418,16425,16440,16452,16457,16478,16483,16507}"
-2787191317670660246,-1943918860,1,{{-14.743062444355063}},{0},{1},{16507}
7519382914444524780,996756572,7,"{{-0.8755327071046938,-4.727387818712341,-4.727387818712341,-15.242824734036668,-3.3768950735690333,-9.21954258275344,-10.829827620263284}}",{6.625392368007956},{1},"{16399,16418,16435,16457,16471,16488}"
-310926232940389306,1957364948,7,"{{-9.210340371976182,-10.401106348814837,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-9.727421389904682,-0.6043176896131222}}",{12.408486820248699},{1},"{16430,16413,16413,16399,16440,16478,16507}"
3549109824785540005,1644092752,16,"{{-3.4196523656796733,-4.727387818712341,-2.4849066497880004,-2.4849066497880004,-3.1682398607308766,-1.4643856107083681,-4.727387818712341,-4.727387818712341,0,-4.727387818712341,-1.3862943611198906,-3.7425615452004064,-10.401106348814837,-11.806862931584517,-14.959841313840421,-1.3862943611198906}}",{9.773606631681607},{1},"{16430,16413,16406,16399,16435,16435,16440,16457,16464,16478,16488,16495,16502}"
-4209927756710409746,586183682,9,"{{-0.8246229357117946,-1.0161294578281923,-1.779409008716249,-1.779409008716249,-3.627765135193404,-12.310757748468845,-0.20307550321591045,-10.829827620263284,-7.327459299804411}}",{3.6109179126442243},{1},"{16392,16418,16457,16464,16478,16507}"
-3210595597316270705,-1244607664,1,{{-4.727387818712341}},{0},{1},{16435}
-4074774145614403639,-2006835374,2,"{{-13.272906988144165,-0.6678600329309736}}",{2.772588722239781},{1},{16457}
-9026514954839072455,-1223869371,8,"{{-4.727387818712341,-4.727387818712341,-3.2466960139287666,-0.3430127066731566,-4.727387818712341,-4.017754001632089,-0.8246229357117946,-4.727387818712341}}",{6.322565239927284},{1},"{16435,16435,16464,16471,16507}"
6841805925482126349,-411383359,13,"{{-9.210340371976182,-0.6043176896131222,-15.242824734036668,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-2.6737692048765918,-1.9459101490553135,0,-1.3862943611198906,-14.959841313840421,-4.727387818712341,-4.727387818712341}}",{9.254357257392957},{1},"{16430,16413,16413,16406,16399,16435,16447,16471,16488,16507}"
-310926232940389306,2055328694,2,"{{-15.242824734036668,-9.211447651454138}}",{0},{1},{16488}
3549109824785540005,412420958,20,"{{-3.4196523656796733,-2.4849066497880004,-2.4849066497880004,-3.1682398607308766,-1.4643856107083681,-4.727387818712341,0,-4.727387818712341,-1.3862943611198906,-3.7425615452004064,-0.5682273363332855,-1.3862943611198906,-10.401106348814837,-11.806862931584517,-14.959841313840421,-1.3862943611198906,-12.367328027087364,-1.0161294578281923,-1.3862943611198906,-0.20307550321591045}}",{9.699411063939143},{1},"{16385,16430,16413,16413,16406,16399,16418,16435,16440,16457,16464,16478,16488,16495,16502,16507}"
-460740518707800565,-1466556625,2,"{{-1.0161294578281923,-12.367328027087364}}",{0},{1},{16418}
816913887554954199,-1144498351,5,"{{-11.806862931584517,-15.242824734036668,-10.401106348814837,-1.0161294578281923,-12.367328027087364}}",{14.85668968917151},{1},"{16399,16418,16440,16457,16478,16488}"
-5949668645089970217,-1444519392,4,"{{-0.9134981405910861,-2.994692088903998,-10.420568570464626,-10.401106348814837}}",{8.9085593751449},{1},"{16440,16464,16478,16507}"
1693774000992751456,1522380127,2,"{{-2.4849066497880004,-2.4849066497880004}}",{0},{1},{16502}
7915967579038312663,2073789962,10,"{{-1.4643856107083681,-2.4849066497880004,-3.7425615452004064,-12.367328027087364,-14.959841313840421,-4.727387818712341,-0.6043176896131222,-1.0161294578281923,-4.727387818712341,-2.4065964104973334},{-1.4643856107083681,-2.4849066497880004,-3.7425615452004064,-12.367328027087364,-15.678730263797458,-4.727387818712341,-0.6043176896131222,-1.0161294578281923,-4.727387818712341,-2.3978952727983707},{-1.4643856107083681,-2.4849066497880004,-3.7425615452004064,-10.829827620263284,-14.959841313840421,-4.727387818712341,-0.6043176896131222,-1.0161294578281923,-4.727387818712341,-2.4785635204054564}}","{14.381190777150668,14.381190777150668,14.381190777150668}","{1,1,1}","{16385,16406,16399,16418,16435,16457,16464,16488,16502,16507}"
6841805925482126349,440640073,9,"{{-9.210340371976182,-0.6043176896131222,-9.504277838590472,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-1.9459101490553135,-1.3862943611198906,-10.401106348814837}}",{7.144407180321139},{1},"{16430,16413,16413,16440,16447,16478,16507}"
7519382914444524780,-1660143,1,{{-13.046917587694706}},{0.8030282248572578},{1},{16471}
146477119612211947,-448570014,8,"{{-0.6043176896131222,-8.22130525280142,-6.295777548893901,-9.21954258275344,-10.829827620263284,-9.860952782529203,-11.806862931584517,-5.3267168438752}}",{4.927253685157205},{1},"{16418,16440,16457,16464,16471,16478,16507}"
-2924466581088026648,1325720599,3,"{{-3.2466960139287666,-4.727387818712341,-4.727387818712341}}",{9.670861685832426},{1},"{16435,16471}"
1322643491423167220,1197380004,7,"{{-1.8626752716686563,-9.319827910797311,-3.7425615452004064,-14.959841313840421,-10.420568570464626,-10.401106348814837,-12.963524726190421}}",{8.507142855562735},{1},"{16385,16406,16399,16440,16457,16478,16507}"
-3210595597316270705,-1081659325,10,"{{-4.639761626644851,-10.401106348814837,-1.9459101490553135,-1.252762968495368,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.2876820724517809,-0.9134981405910861,-10.420568570464626}}",{3.5263605246161616},{1},"{16430,16413,16413,16440,16447,16464,16478,16507}"
-2924466581088026648,283588778,10,"{{-0.02913556429686999,-1.167407949203554,-4.727387818712341,-0.10163412374009485,-4.727387818712341,-3.2466960139287666,-3.3768950735690333,-4.727387818712341,-5.3267168438752,-4.727387818712341}}",{5.5909869805108565},{1},"{16399,16435,16435,16464,16471,16507}"
1693774000992751456,2038215060,6,"{{-0.5682273363332855,-12.868292334320397,-14.743062444355063,-10.401106348814837,-11.806862931584517,-0.20307550321591045}}",{0},{1},"{16440,16478,16507}"
-5323664899700589841,-1734014862,2,"{{-4.639761626644851,-13.421669132350415}}",{0},{1},{16464}
-1889760809355916724,-1711663209,9,"{{-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-3.3768950735690333,-9.860952782529203,-4.727387818712341,-4.727387818712341,-11.806862931584517}}",{9.085230560933338},{1},"{16430,16413,16413,16399,16435,16440,16471,16478,16507}"
7519382914444524780,792419252,1,{{-9.21954258275344}},{2.302585092994046},{1},{16418}
9105500078934324812,-1268732831,8,"{{-0.8755327071046938,-4.727387818712341,-4.727387818712341,-15.242824734036668,-4.727387818712341,-4.388984109633438,-3.3768950735690333,-4.727387818712341}}",{10.242563539313103},{1},"{16399,16435,16435,16464,16471,16488,16507}"
6624959997497422723,408106053,4,"{{-1.8626752716686563,-14.743062444355063,-10.708250642916408,-10.401106348814837}}",{6.20455776256869},{1},"{16440,16478,16507}"
-5951735317690032369,53600917,6,"{{-0.11202713060292206,-11.806862931584517,-0.6678173444306782,-13.272906988144165,-12.367328027087364,-10.708250642916408}}",{8.403492751245635},{1},"{16418,16440,16457,16478}"
146477119612211947,1823070612,6,"{{-0.6043176896131222,-8.22130525280142,-6.295777548893901,-3.3768950735690333,-9.21954258275344,-10.829827620263284}}",{3.58351893845611},{1},"{16399,16418,16457,16471,16507}"
-6387362809141986757,899002413,1,{{-1.9459101490553135}},{0},{1},{16447}
-5323664899700589841,2137162100,2,"{{-4.639761626644851,-13.421669132350415}}",{0},{1},{16464}
3549109824785540005,229140910,3,"{{-0.5682273363332855,-14.743062444355063,-0.20307550321591045}}",{0},{1},{16507}
1038524182031953798,1309618108,7,"{{-0.09725901836917965,-4.506952014727333,-10.401106348814837,-0.8556044967540088,-3.7826452271286155,-11.806862931584517,-2.772588722239781}}",{6.248042874508429},{1},"{16440,16452,16464,16478,16483,16507}"
1076878163750528468,-604640977,4,"{{-7.327459299804411,0,-3.4819312730925707,-13.421669132350415}}",{0},{1},{16464}
-3475685009172437784,-985866924,1,{{-11.93201730599305}},{5.3981627015177525},{1},{16478}
5372730239182956237,1669231663,11,"{{-4.727387818712341,-2.994692088903998,-1.9459101490553135,-1.252762968495368,-4.727387818712341,-4.727387818712341,-1.3862943611198906,-1.3862943611198906,-0.027363187820156575,-4.727387818712341,-0.9134981405910861}}",{8.621192781434722},{1},"{16430,16413,16435,16435,16447,16464,16471,16507}"
5632455736553151255,-1409861722,2,"{{-4.727387818712341,-4.727387818712341}}",{2.302585092994046},{1},"{16435,16471}"
-1573023350148659030,-45978584,9,"{{-4.727387818712341,-2.994692088903998,-10.401106348814837,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.2876820724517809,-4.727387818712341,-10.420568570464626}}",{7.987864096085687},{1},"{16430,16413,16413,16435,16440,16464,16478}"
2399599952233934428,2040332925,1,{{-11.93201730599305}},{4.532599493153256},{1},{16478}
-7110568913434103698,1083875821,9,"{{-1.3862943611198906,-0.6228005731438893,-12.367328027087364,-1.5549634809551214,-0.164318121186709,-1.1149585546163294,-10.420568570464626,-10.401106348814837,-1.779409008716249}}",{5.135798437050262},{1},"{16418,16425,16440,16457,16471,16478,16507}"
-6885312641126422993,1289099716,0,,{0},{1},"{16425,16435,16457,16471,16507}"
-2202723705874175045,1898981933,10,"{{-10.401106348814837,-1.9459101490553135,-1.9459101490553135,-1.3862943611198906,-1.3862943611198906,-8.517243192666278,-9.727421389904682,-0.09933504492467592,-14.959841313840421,-0.00010000500033334732}}",{3.4965075614664802},{1},"{16430,16413,16406,16399,16440,16447,16478,16507}"
-9026514954839072455,-1209397602,10,"{{-4.727387818712341,-4.727387818712341,-3.2466960139287666,-0.3430127066731566,-4.727387818712341,-4.017754001632089,-0.8246229357117946,-4.727387818712341,-12.367328027087364,-1.0161294578281923}}",{6.561030665896573},{1},"{16418,16435,16435,16457,16464,16471,16507}"
3549109824785540005,1637925274,5,"{{-3.7425615452004064,-0.5682273363332855,-10.401106348814837,-11.806862931584517,-0.20307550321591045}}",{7.553286605600419},{1},"{16430,16399,16440,16478,16507}"
1168076528610430802,-135319602,4,"{{-4.727387818712341,-13.421669132350415,-4.388984109633438,-4.727387818712341}}",{11.560686528368489},{1},"{16435,16464,16471}"
-5323664899700589841,-1979183086,16,"{{-1.3862943611198906,-0.7191353283247456,-0.8556044967540088,-0.09725901836917965,-12.367328027087364,-0.11202713060292206,-1.3862943611198906,-1.4309553723739108,-1.3862943611198906,-1.3862943611198906,-3.7826452271286155,-1.3862943611198906,-11.806862931584517,-11.806862931584517,-0.6931471805599453,-2.890371757896165}}",{5.147494476813453},{1},"{16430,16413,16413,16418,16425,16440,16452,16457,16478,16483,16507}"
-6682106289455670140,601726513,2,"{{-1.3862943611198906,-0.6931471805599453}}",{11.813666891635643},{1},"{16430,16413}"
-1573023350148659030,-10133969,6,"{{-14.743062444355063,-10.401106348814837,-1.9459101490553135,-1.252762968495368,-0.6043176896131222,-10.420568570464626}}",{9.366146823114383},{1},"{16440,16447,16478,16507}"
607840843579539521,777914020,3,"{{-0.977827684121602,-11.806862931584517,-10.401106348814837}}",{9.341894811716484},{1},"{16440,16457,16478,16507}"
3199076743843001296,1379122134,1,"{{-9.211447651454138},{-2.0079774585096875}}","{8.559486103606488,13.193224369533487}","{1,1}",{16488}
1693774000992751456,-2111894175,9,"{{-14.959157077216943,-3.7812871628407643,-0.5682273363332855,-12.868292334320397,-10.401106348814837,-12.963524726190421,-11.806862931584517,-14.959841313840421,-0.20307550321591045}}",{1.0986122886681098},{1},"{16385,16430,16406,16399,16440,16478,16507}"
-5949668645089970217,-948842338,0,,{1.3862943611198906},{1},{16425}
5372730239182956237,-1333611322,11,"{{-2.994692088903998,-1.779409008716249,-10.401106348814837,-1.1149585546163294,-4.727387818712341,-0.6228005731438893,-4.727387818712341,-12.367328027087364,-0.027363187820156575,-1.3862943611198906,-10.420568570464626}}",{11.598745299021108},{1},"{16418,16425,16435,16440,16457,16464,16471,16478}"
1025902338300761143,-705784741,1,{{-11.44586643668829}},{0},{1},{16430}
946838174961328458,470816404,7,"{{-4.727387818712341,-4.999887641114325,-1.8626752716686563,-4.727387818712341,-1.3862943611198906,-1.3862943611198906,-0.6678600329309736}}",{1.0986122886681098},{1},"{16425,16435,16457,16471,16507}"
-3210595597316270705,-672944362,3,"{{-13.272906988144165,-1.779409008716249,-1.1149585546163294}}",{1.5365939868797396},{1},{16457}
3350265702090035455,294240578,2,"{{-11.806862931584517,-10.401106348814837}}",{11.908690344280432},{1},"{16440,16457,16478,16507}"
1322643491423167220,-1230971347,1,{{-14.959841313840421}},{0},{1},{16406}
2399599952233934428,830733291,1,{{-10.401106348814837}},{9.301916315463393},{1},{16478}
-1889760809355916724,100553475,2,"{{-9.860952782529203,-11.806862931584517}}",{0},{1},{16440}
1693774000992751456,-1594708739,2,"{{-14.959157077216943,-14.959841313840421}}",{0},{1},{16406}
